Loc,DateOfMonth,Weekday,Hour,NoOfBookings
5,3,3,3,43890
5,3,3,4,43927
5,3,3,5,43976
5,3,3,6,44080
5,3,3,7,44267
5,3,3,8,44546
5,3,3,9,44780
5,3,3,10,44940
5,3,3,11,45074
5,3,3,12,45211
5,3,3,13,45378
5,3,3,14,45585
5,3,3,15,45823
5,3,3,16,46128
5,3,3,17,46519
5,3,3,18,46956
5,3,3,19,47406
5,3,3,20,47763
5,3,3,21,48182
5,3,3,22,48632
5,3,3,23,49068
5,4,4,0,49299
5,4,4,1,49384
5,4,4,2,49436
5,4,4,3,49472
5,4,4,4,49513
5,4,4,5,49576
5,4,4,6,49666
5,4,4,7,49884
5,4,4,8,50178
5,4,4,9,50432
5,4,4,10,50609
5,4,4,11,50802
5,4,4,12,51038
5,4,4,13,51267
5,4,4,14,51564
5,4,4,15,51884
5,4,4,16,52273
5,4,4,17,52764
5,4,4,18,53388
5,4,4,19,54038
5,4,4,20,54637
5,4,4,21,55038
5,4,4,22,55581
5,4,4,23,56087
5,5,5,0,56450
6,5,5,1,56655
6,5,5,2,56760
6,5,5,3,56819
6,5,5,4,56868
6,5,5,5,56912
6,5,5,6,56969
6,5,5,7,57030
6,5,5,8,57111
6,5,5,9,57204
6,5,5,10,57318
6,5,5,11,57448
6,5,5,12,57588
6,5,5,13,57773
6,5,5,14,57956
6,5,5,15,58152
6,5,5,16,58461
6,5,5,17,58822
6,5,5,18,59231
6,5,5,19,59689
6,5,5,20,60103
6,5,5,21,60508
6,5,5,22,60948
6,5,5,23,61470
6,6,6,0,61958
6,6,6,1,62404
6,6,6,2,62683
6,6,6,3,62821
6,6,6,4,62917
6,6,6,5,62984
6,6,6,6,63035
6,6,6,7,63088
6,6,6,8,63148
6,6,6,9,63239
6,6,6,10,63363
6,6,6,11,63506
6,6,6,12,63644
6,6,6,13,63804
6,6,6,14,63980
6,6,6,15,64170
6,6,6,16,64395
6,6,6,17,64633
6,6,6,18,64870
6,6,6,19,65086
6,6,6,20,65277
6,6,6,21,65437
6,6,6,22,65613
6,6,6,23,65717
6,7,0,0,65786
6,7,0,1,65813
6,7,0,2,65832
6,7,0,3,65849
6,7,0,4,65893
6,7,0,5,65959
6,7,0,6,66077
6,7,0,7,66315
6,7,0,8,66618
6,7,0,9,66859
6,7,0,10,67016
6,7,0,11,67151
6,7,0,12,67273
6,7,0,13,67395
6,7,0,14,67553
6,7,0,15,67808
6,7,0,16,68100
6,7,0,17,68562
6,7,0,18,69121
6,7,0,19,69700
6,7,0,20,70268
6,7,0,21,70596
6,7,0,22,70881
6,7,0,23,71061
6,8,1,0,71122
6,8,1,1,71165
6,8,1,2,71182
6,8,1,3,71198
6,8,1,4,71228
6,8,1,5,71271
6,8,1,6,71387
6,8,1,7,71626
6,8,1,8,71956
6,8,1,9,72283
6,8,1,10,72454
6,8,1,11,72596
6,8,1,12,72749
6,8,1,13,72894
6,8,1,14,73067
6,8,1,15,73276
6,8,1,16,73582
6,8,1,17,73946
6,8,1,18,74372
6,8,1,19,74701
6,8,1,20,74998
6,8,1,21,75349
6,8,1,22,75644
6,8,1,23,75816
6,9,2,0,75903
6,9,2,1,75947
6,9,2,2,75972
6,9,2,3,75996
6,9,2,4,76033
6,9,2,5,76088
6,9,2,6,76188
